id,listing_url,scrape_id,host_id,host_name,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,city,state,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
5159202,https://www.airbnb.com/rooms/5159202,2.0171E+13,26357292,Jennifer,,f,1,1,Brooklyn,NY,11225,Apartment,Private room,1,1,1,1,Futon,$57.00 ,,,,,1,$10.00 ,3,100,10,10,10,10,9,10,flexible,1,0.15
13955012,https://www.airbnb.com/rooms/13955012,2.0171E+13,82505349,Marwan,,f,1,1,Brooklyn,NY,11221,Apartment,Private room,2,1,1,1,Real Bed,$100.00 ,,,$250.00 ,$30.00 ,1,$0.00 ,0,,,,,,,,flexible,1,
1126944,https://www.airbnb.com/rooms/1126944,2.0171E+13,128663,Tina,100%,f,2,2,Brooklyn,NY,11218,House,Entire home/apt,8,3,4,5,Real Bed,$210.00 ,,,$250.00 ,$250.00 ,1,$0.00 ,1,80,8,6,10,10,10,6,strict,2,0.03
12751037,https://www.airbnb.com/rooms/12751037,2.0171E+13,69355658,Kathleen,100%,t,2,2,New York,NY,10003,Apartment,Private room,1,1,1,1,Real Bed,$93.00 ,,,$250.00 ,$50.00 ,1,$0.00 ,7,91,10,9,10,10,10,9,strict,2,0.42
16449169,https://www.airbnb.com/rooms/16449169,2.0171E+13,344583,Daniel And Helene,100%,t,1,1,Brooklyn,NY,11216,Apartment,Entire home/apt,4,1,1,1,Real Bed,$120.00 ,,,,$50.00 ,2,$20.00 ,26,98,10,10,10,10,9,10,moderate,1,2.83
18160194,https://www.airbnb.com/rooms/18160194,2.0171E+13,16610517,Alev,69%,f,1,1,New York,NY,10028,Apartment,Entire home/apt,2,1,1,1,Real Bed,$130.00 ,,,,$60.00 ,1,$0.00 ,11,96,10,10,10,10,10,10,strict,1,2.13
20991057,https://www.airbnb.com/rooms/20991057,2.0171E+13,77682770,,,,,,Brooklyn,NY,11222,Apartment,Entire home/apt,4,1,1,2,Real Bed,$149.00 ,,,$0.00 ,$40.00 ,1,$0.00 ,2,100,10,10,10,10,10,10,moderate,1,2
6706703,https://www.airbnb.com/rooms/6706703,2.0171E+13,8556751,Adam,,f,1,1,Queens,NY,11105,Apartment,Private room,1,1,1,1,Real Bed,$50.00 ,$400.00 ,"$1,100.00 ",,$10.00 ,1,$0.00 ,0,,,,,,,,moderate,1,
7870258,https://www.airbnb.com/rooms/7870258,2.0171E+13,31304940,John,100%,f,8,8,Brooklyn,NY,11249,Loft,Private room,2,3,1,1,Real Bed,$60.00 ,,,$95.00 ,$25.00 ,2,$0.00 ,58,97,10,9,10,10,10,10,strict,8,2.25
13293463,https://www.airbnb.com/rooms/13293463,2.0171E+13,10730726,Brian,90%,t,1,1,New York,NY,10003,Apartment,Private room,1,2,1,1,Real Bed,$105.00 ,,,,$100.00 ,1,$0.00 ,14,100,10,10,10,10,10,10,strict,1,0.96
